Extent,Prediction
13.122,12.425
13.104,12.346
13.073,12.251
13.038,12.271
13.051,12.263
12.97,12.197
12.965,12.116
12.781,12.063
12.756,12.026
12.755,11.959
12.707,11.946
12.667,11.931
12.623,11.877
12.556,11.904
12.526,11.821
12.425,11.674
12.346,11.629
12.251,11.646
12.271,11.495
12.263,11.433
12.197,11.319
12.116,11.278
12.063,10.992
12.026,10.885
11.959,10.79
11.946,10.72
11.931,10.58
11.877,10.306
11.904,10.212
11.821,10.242
11.674,10.173
11.629,10.023
11.646,10.07
11.495,9.852
11.433,9.758
11.319,9.594
11.278,9.491
10.992,9.458
10.885,9.307
10.79,9.216
10.72,9.213
10.58,9.197
10.306,9.049
10.212,9.006
10.242,8.944
10.173,8.891
10.023,8.829
10.07,8.603
9.852,8.513
9.758,8.405
9.594,8.323
9.491,8.224
9.458,8.069
9.307,7.969
9.216,7.98
9.213,7.859
9.197,7.744
9.049,7.788
9.006,7.811
8.944,7.715
8.891,7.722
8.829,7.731
8.603,7.642
8.513,7.629
8.405,7.586
8.323,7.516
8.224,7.464
8.069,7.466
7.969,7.465
7.98,7.404
7.859,7.306
7.744,7.349
7.788,7.33
7.811,7.23
7.715,7.218
7.722,7.185
7.731,7.102
7.642,7.151
7.629,7.02
7.586,6.97
7.516,6.976
7.464,6.889
7.466,6.873
7.465,6.786
7.404,6.766
7.306,6.706
7.349,6.797
7.33,6.796
7.23,6.728
7.218,6.617
7.185,6.516
7.102,6.465
7.151,6.464
7.02,6.445
6.97,6.434
6.976,6.369
6.889,6.35
6.873,6.28
6.786,6.284
6.766,6.259
6.706,6.367
6.797,6.319
6.796,6.384
6.728,6.386
6.617,6.325
6.516,6.297
6.465,6.33
6.464,6.411
6.445,6.416
6.434,6.431
6.369,6.432
6.35,6.511
6.28,6.602
6.284,6.7
6.259,6.85
6.367,6.988
6.319,7.027
6.384,7.16
6.386,7.25
6.325,7.35
6.297,7.499
6.33,7.579
6.411,7.713
6.416,7.811
6.431,8.002
6.432,8.243
6.511,8.448
6.602,8.609
6.7,8.798
6.85,8.924
6.988,8.999
7.027,9.184
7.16,9.174
7.25,9.194
7.35,9.252
7.499,9.257
7.579,9.309
7.713,9.348
7.811,9.318
8.002,9.404
8.243,9.511
8.448,9.576
8.609,9.671
8.798,9.64
8.924,9.696
8.999,9.854
9.184,9.984
9.174,10.048
9.194,10.052
9.252,10.161
9.257,10.236
9.309,10.294
9.348,10.412
9.318,10.53
9.404,10.619
9.511,10.653
9.576,10.718
9.671,10.773
9.64,10.769
9.696,10.779
9.854,10.948
9.984,10.946
10.048,10.985
10.052,11.077
10.161,11.133
10.236,11.202
10.294,11.287
10.412,11.396
10.53,11.512
10.619,11.615
10.653,11.681
10.718,11.667
10.773,11.718
10.769,11.725
10.779,11.764
10.948,12.026
10.946,12.078
10.985,12.104
11.077,12.217
11.133,12.3
11.202,12.331
11.287,12.377
11.396,12.49
11.512,12.517
11.615,12.526
11.681,12.58
11.667,12.606
11.718,12.808
11.725,12.836
11.764,12.907
12.026,12.969
12.078,12.994
12.104,13.13
12.217,13.083
12.3,13.098
12.331,13.14
12.377,13.215
12.49,13.367
12.517,13.346
12.526,13.465
12.58,13.597
12.606,13.658
12.808,13.8
12.836,13.954
12.907,13.885
12.969,13.894
12.994,14.069
13.13,14.092
13.083,14.141
13.098,14.072
13.14,14.185
13.215,14.254
13.367,14.282
13.346,14.406
13.465,14.419
13.597,14.481
13.658,14.509
13.8,14.51
13.954,14.543
13.885,14.631
13.894,14.56
14.069,14.52
14.092,14.614
14.141,14.658
14.072,14.745
14.185,14.772
14.254,14.83
14.282,14.906
14.406,14.932
14.419,14.946
14.481,14.905
14.509,15.0
14.51,15.1
14.543,15.212
14.631,15.182
14.56,15.188
14.52,15.259
14.614,15.419
14.658,15.387
14.745,15.396
14.772,15.396
14.83,15.365
14.906,15.481
14.932,15.446
14.946,15.424
14.905,15.43
15.0,15.358
15.1,15.318
15.212,15.367
15.182,15.382
15.188,15.449
15.259,15.466
15.419,15.567
15.387,15.561
15.396,15.518
15.396,15.532
15.365,15.508
15.481,15.523
15.446,15.574
15.424,15.535
15.43,15.53
15.358,15.494
15.318,15.53
15.367,15.496
15.382,15.532
15.449,15.417
15.466,15.487
15.567,15.516
15.561,15.44
15.518,15.402
15.532,15.39
15.508,15.399
15.523,15.424
15.574,15.48
15.535,15.527
15.53,15.525
15.494,15.546
15.53,15.576
15.496,15.521
15.532,15.493
15.417,15.476
15.487,15.422
15.516,15.371
15.44,15.406
15.402,15.461
15.39,15.505
15.399,15.512
15.424,15.547
15.48,15.535
15.527,15.56
15.525,15.57
15.546,15.569
15.576,15.554
15.521,15.543
15.493,15.401
15.476,15.41
15.422,15.347
15.371,15.311
15.406,15.222
15.461,15.135
15.505,15.108
15.512,15.013
15.547,14.935
15.535,14.93
15.56,14.884
15.57,14.809
15.569,14.736
15.554,14.747
15.543,14.719
15.401,14.708
15.41,14.689
15.347,14.709
15.311,14.652
15.222,14.677
15.135,14.622
15.108,14.607
15.013,14.595
14.935,14.563
14.93,14.606
14.884,14.571
14.809,14.463
14.736,14.351
14.747,14.303
14.719,14.297
14.708,14.198
14.689,14.121
14.709,14.026
14.652,13.867
14.677,13.801
14.622,13.657
14.607,13.566
14.595,13.53
14.563,13.536
14.606,13.502
14.571,13.521
14.463,13.436
14.351,13.356
14.303,13.24
14.297,13.23
14.198,13.192
14.121,13.186
14.026,13.162
13.867,13.13
13.801,13.089
13.657,13.12
13.566,13.09
13.53,13.069
13.536,13.06
13.502,13.043
13.521,12.978
13.436,12.988
13.356,12.934
13.24,12.915
13.23,12.947
13.192,12.96
13.186,12.89
13.162,12.878
13.13,12.809
13.089,12.665
13.12,12.644
13.09,12.593
13.069,12.59
13.06,12.461
13.043,12.415
12.978,12.379
12.988,12.382
12.934,12.353
12.915,12.334
12.947,12.336
12.96,12.32
12.89,12.275
12.878,12.266
12.809,12.189
12.665,12.16
12.644,12.107
12.593,12.026
12.59,11.989
12.461,12.014
12.415,11.904
12.379,11.886
12.382,11.911
12.353,11.852
12.334,11.797
12.336,11.82
12.32,11.752
12.275,11.732
12.266,11.682
12.189,11.569
12.16,11.38
12.107,11.341
12.026,11.28
11.989,11.242
12.014,11.198
11.904,11.087
11.886,11.052
11.911,10.988
11.852,10.919
11.797,10.825
11.82,10.853
11.752,10.723
11.732,10.648
11.682,10.603
11.569,10.481
11.38,10.333
11.341,10.274
11.28,10.252
11.242,10.133
11.198,10.058
11.087,9.9
11.052,9.906
10.988,9.838
10.919,9.744
10.825,9.562
10.853,9.437
10.723,9.358
